"title","stars","text"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","2","Customer service is poor …"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","Superb service. Specially the hospitality of the Manager Rahal is remarkable"
"Pizza Hut - Union Place","5","Pizza Hut at union place is the icon of Pizza Hut. Very good staff. Very tasty pizzas"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Amazing customer service !!!"
"Pizza Hut - Union Place","2","All attending Waiters couldn't understand and wouldn't take orders in English. Polite enough.  Very sparse topping with minimal cheese for the pizza. Over cooked as well. When compared to the other branches near majestic city and locations outside Colombo the quality was poor. The ambience was pleasant with good background music and  good cleanlinesss in dine in location."
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","1","Customer service was very bad, i can't imagine it, when my childhood the union place pizzhut is the one of the best fast food dining shop in colombo, but now they didn't  even provide tissues for us, the young age waiters not well prepared for serve food."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1","Worst customer service experience ever. Management is not good .Management Issues."
"Pizza Hut - Union Place","5","Ambiente moderno e ben climatizzato.
Servizio veloce staff gentile.
Pizza buona"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5","Food was phenomenal. Visiting the branch after a couple of years and not disappointed. Would recommend."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","🍕 pizza lovers 😋 place"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","Delicious pizza 🍕 loved every bit of it"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1","It was very crowded and didn't have a relax vibe to eat calmly"
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Good friendly staff. Treat customers respectfully"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1","Worst customer service, they take customers in even though they are running out of there capacity. We were about 20 people , and they took about 40 minutes to prepare our order and not even serving drinks we have ordered in the mean time. Even when they served drinks after about 30 min. They don't have capacity to serve 20 + drinks at once , ( served 10 keep the other 10 waiting and collect our glasses to serve the remaining...) .
Worst part is At the end they charged 3000+ as a service charge."
"Pizza Hut - Union Place","4","Good"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1",
"Pizza Hut - Union Place","4","Very good service and as usual lovely food. Enough parking space and less crowded.  I ordered the family fun with few customisations."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1",
"Pizza Hut - Union Place","3","Bon pour depanner"
"Pizza Hut - Union Place","5","Good place to dine in , friendly and fast service."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","One of the best pizza huts in SL. A bit crowded maybe given the time you visit. Apart from that, good experience."
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","1",
"Pizza Hut - Union Place","5","The branch manager Azeem, is a refreshing change, with regards to attitude, service, helpfulness & courtesy."
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","Little dull but good setup 👍"
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5","Best pizza hut ever 👍"
"Pizza Hut - Union Place","1","I ordered hot garlic prawn pizza and found very few peice of prawns.
Not worth the money spent on either pizzas bought last night.
Lava cake, wonder how did they do the pricing. 540/- each and when you see the portion served, you see stars. Not worth at all.
If I go to 5 star hotel, I will spend less and eat better varieties of food. Never to step into pizza hut again."
"Pizza Hut - Union Place","5","Tried sausage roll & pizza bt its not more cheesy may be the reason we ate little late. Taste is normal. 1st time taste pizza here.
Pizza hut located with children park its good point to spent an evening. Interior designs are superb"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","Dont eat that Christmas Pizza if you dont like your pizza sweet. The pizza was awsome but that sweet topping made that awful 😒 the milkshake worth the price though. That was taaasty ❣️"
"Pizza Hut - Union Place","1",
"Pizza Hut - Union Place","1","Place needs a renovation. Dirty walls.
had to change the table due to untidiness. there were marks on table. service is also very poor. steward just left the cutleries on the table . There were water drops on water glasses. when queried the reply was they never wipe the glasses so far.  I suggest you choose some other place to taste pizzas."
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3","Crowed and they served late night"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4","Good fun place . Food is good"
"Pizza Hut - Union Place","1",
"Pizza Hut - Union Place","1",". Service not the best..."
"Pizza Hut - Union Place","5",
